epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0399,3.20192,4.16899,3.29225,0.003,0.9,0.02416,0.00406,3.06444,4.40472,3.47978,8e-05,8e-05,8e-05
2,101.044,2.64181,3.82683,2.68386,0.003,0.9,0.00945,0.00259,2.59516,4.22484,2.74771,0.000172872,0.000172872,0.000172872
3,149.328,2.22155,3.13494,2.25776,0.00311,0.93333,0.00582,0.00177,2.05006,4.11802,2.30204,0.000257824,0.000257824,0.000257824
4,195.661,1.79766,2.69223,1.90778,0.00322,0.96667,0.00692,0.00228,1.70529,4.0595,2.09672,0.000334856,0.000334856,0.000334856
5,245.529,1.79217,2.21631,1.69663,0.00592,0.73333,0.42589,0.05225,1.87229,4.19795,2.30418,0.000403968,0.000403968,0.000403968
6,291.283,1.7058,2.17794,1.63177,0.00333,1,0.23772,0.03006,2.13664,3.91852,2.13051,0.00046516,0.00046516,0.00046516
7,337.136,1.70545,2.17951,1.62453,0.00322,0.96667,0.03276,0.00514,2.27447,3.93598,2.44822,0.000518432,0.000518432,0.000518432
8,386.301,1.71963,2.11625,1.71389,0.00322,0.96667,0.01313,0.00303,2.0157,3.99087,2.13574,0.000563784,0.000563784,0.000563784
9,433.475,1.76621,2.11248,1.7069,0.00333,1,0.39932,0.0538,2.23535,3.90979,2.02781,0.000601216,0.000601216,0.000601216
10,483.117,1.66209,2.07563,1.60688,0.00322,0.96667,0.02526,0.00308,2.96178,3.97743,2.59482,0.000630728,0.000630728,0.000630728
11,529.227,1.65194,2.04159,1.58436,0.00322,0.96667,0.01199,0.00208,2.75083,3.72645,2.45907,0.00065232,0.00065232,0.00065232
12,578.506,1.5967,1.97481,1.5811,0.00333,1,0.18623,0.0492,2.62427,3.24208,2.49866,0.000665992,0.000665992,0.000665992
13,627.911,1.64671,1.86546,1.56486,0.00333,1,0.14333,0.03441,2.73504,3.23804,2.56954,0.000671744,0.000671744,0.000671744
14,676.117,1.63504,1.78778,1.5597,0.33063,0.28022,0.39491,0.10042,2.67365,3.09707,2.70351,0.000669576,0.000669576,0.000669576
15,724.666,1.5215,1.73551,1.42674,0.51548,0.56743,0.54372,0.14651,2.61956,2.86741,3.04195,0.000659488,0.000659488,0.000659488
16,778.029,1.6589,1.72973,1.46618,0.33052,0.66667,0.33638,0.08962,2.73245,2.97448,3.37231,0.00064148,0.00064148,0.00064148
17,826.588,1.49614,1.7553,1.41211,0.1912,0.13399,0.46979,0.1488,2.57856,2.69343,2.89959,0.000615552,0.000615552,0.000615552
18,876.718,1.47417,1.63962,1.41158,0.65677,0.57427,0.64168,0.17142,2.80436,2.69599,3.14814,0.000581704,0.000581704,0.000581704
19,920.659,1.41197,1.60616,1.42023,0.62613,0.53333,0.5498,0.16234,2.55864,2.79939,2.79435,0.000539936,0.000539936,0.000539936
20,963.468,1.35622,1.61046,1.40424,0.58063,0.73333,0.61222,0.2198,2.35111,2.45626,2.689,0.000490248,0.000490248,0.000490248
21,1010.45,1.41877,1.57379,1.44796,0.62099,0.81944,0.68946,0.23499,2.33717,2.38688,2.6425,0.000416,0.000416,0.000416
22,1058.35,1.37437,1.51395,1.38793,0.5098,0.93333,0.55975,0.19387,2.35673,2.41999,2.62605,0.0003368,0.0003368,0.0003368
23,1103.8,1.36521,1.4404,1.36593,0.50265,0.93333,0.54889,0.18846,2.30734,2.3672,2.46513,0.0002576,0.0002576,0.0002576
24,1154.09,1.36136,1.46515,1.36504,0.42363,0.8,0.43428,0.18739,1.96078,2.54958,1.93259,0.0001784,0.0001784,0.0001784
25,1202.06,1.38964,1.46852,1.3712,0.41108,0.83333,0.44967,0.19064,1.83193,2.54609,1.80624,9.92e-05,9.92e-05,9.92e-05
